Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
AC	37	9.35135135135135	1826.1027843653771	28.290342698370665	10.877723867924471
AC	36	9.61111111111111	1825.2372697771302	29.502633684451943	11.069072613688594
AC	35	9.885714285714286	1824.1713532279095	29.706150436121977	10.846156560398137
AC	34	10.176470588235293	1822.8915445830585	30.6673869383017	10.81973429200081
AC	33	10.484848484848484	1823.0939405269396	33.37217603475975	11.762324959223227
AC	32	10.8125	1822.2843924880217	31.728089289027988	10.856798734759112
AC	31	11.161290322580646	1821.0764760220825	32.85712030236221	10.831100799878154
AC	30	11.533333333333333	1821.573247462275	35.86269679339669	11.748658370470132
AC	29	11.931034482758621	1820.0893605124209	34.13876695174801	10.869702156664973
AC	28	12.357142857142858	1820.0674048653764	34.56702323099443	10.930752673083285
AC	27	12.814814814814815	1819.3238506506104	35.865136050388756	10.934425533139589
AC	26	13.307692307692308	1829.539496494712	34.2086541278793	11.325952697912243
AC	25	13.84	1829.2323336472607	35.94674424676642	11.638872660545797
AC	24	14.416666666666666	1830.4709486377594	36.017189222242635	11.535982116083629
AC	23	15.043478260869565	1829.0050822775397	38.54418957577068	11.771921879319336
AC	22	15.727272727272727	1872.5020418954516	14.379930888611682	13.847643018982351
AC	21	16.476190476190474	1874.0796299122032	14.634007752487879	14.5336408501211
AC	20	17.3	1874.149711199166	14.454769312297183	13.941410690499085
AC	19	18.210526315789473	1883.2601890094895	13.488064496659904	16.37236946901137
AC	18	19.22222222222222	1882.6447128837349	12.753772547292227	14.582349248304649
AC	17	20.352941176470587	1882.049069693952	13.410431705012844	14.326701491517964
AC	16	21.625	1881.5003865002989	14.784377910619819	14.700261789349836
AC	15	23.066666666666666	1894.6387288333344	10.389074690607359	15.65428001394652
AC	14	24.714285714285715	1894.145889678609	11.666875679960102	16.085648430091492
AC	13	26.615384615384617	1893.8314840019384	12.487756961204	16.066635101507924
AC	12	28.833333333333332	1893.312495832102	13.48794694174756	15.849766228462068
AC	11	31.454545454545453	1892.3129866110262	16.054780588973	16.332833006047434
AC	10	34.6	1892.183608300979	16.423574920610186	16.56373015730727
AC	9	38.44444444444444	1891.9924313544905	20.37160103363196	19.047812174336734
AC	8	43.25	1899.3571191077851	24.91753356350718	18.82018427796167
AC	7	49.42857142857143	1900.5046445042674	22.34258333726176	17.9484736351321
AC	6	57.666666666666664	1899.5698562889856	27.88496194546657	17.538299784192027
AC	5	69.2	1899.3411255908625	33.614877438923116	18.947906790629197
AC	4	86.5	1900.1755938193085	39.69579105987912	19.18400398356681
AC	3	115.33333333333333	1905.3423048950626	2.400371335314474E-4	24.00371335314474
AC	2	173.0	1905.3423286422035	2.0489471842826564E-4	20.489471842826564
AC	1	346.0	1905.3423034725565	0.0	15.896053724294937
HSL	361	1.0	714.9926365551536	0.8961090114003054	0.05722867944810429
HSL	346	1.0433526011560694	708.1444897737749	1.0271196814293673	0.027169791264908105
HSL	339	1.064896755162242	705.5720333973964	0.9843148771498624	0.039236427111274313
HSL	332	1.0873493975903614	718.5697226045701	0.7900745909989939	0.10339716776607483
HSL	326	1.107361963190184	721.5000462284563	0.7428079098104191	0.12366911377823042
HSL	319	1.1316614420062696	717.7429188372878	0.7598962351786632	0.11967360221381751
HSL	313	1.1533546325878594	717.9227475677765	0.7606624391939453	0.12389234131671484
HSL	307	1.1758957654723128	717.2747545303712	0.7711384345567204	0.12516242026557345
HSL	300	1.2033333333333334	725.0505802463938	0.7197574582253268	0.15110162898783536
HSL	294	1.227891156462585	726.4323983351162	0.7095709248316481	0.15938516511101103
HSL	289	1.2491349480968859	726.9780568217552	0.7099781032007698	0.1635769627811977
HSL	283	1.2756183745583038	727.9603748095617	0.7109258199063522	0.16859991900902505
HSL	277	1.3032490974729243	726.0310263285085	0.7212014426830831	0.16854231576036557
HSL	272	1.3272058823529411	726.1376267919245	0.7153926381063807	0.1739302641755335
HSL	266	1.3571428571428572	722.1284655428365	0.7365780735263082	0.16929260435605245
HSL	261	1.3831417624521072	719.170411484767	0.7506394170976208	0.16705854471225262
HSL	256	1.41015625	716.5665209266533	0.7619031040962139	0.16620824614787863
HSL	250	1.444	718.2606894884696	0.7651250807828023	0.17184927795690666
HSL	245	1.473469387755102	728.3208948381582	0.734287245703214	0.1921807188828313
HSL	241	1.4979253112033195	739.508561052516	0.6843152267687721	0.21857797773634707
HSL	236	1.5296610169491525	736.9123497626744	0.6985034738390186	0.21650435537328291
